,Date,Issue_Reported,Number_of_Incidents
2437,5/21/2018,COLLISION WITH INJURY,6
2438,5/21/2018,LOOSE LIVESTOCK,6
2439,5/21/2018,COLLISN/ LVNG SCN,2
2440,5/21/2018,VEHICLE FIRE,1
2441,5/22/2018,Traffic Hazard,88
2442,5/22/2018,Crash Urgent,37
2443,5/22/2018,Crash Service,27
2444,5/22/2018,TRFC HAZD/ DEBRIS,14
2445,5/22/2018,COLLISION,12
2446,5/22/2018,Traffic Impediment,12
2447,5/22/2018,zSTALLED VEHICLE,11
2448,5/22/2018,LOOSE LIVESTOCK,6
2449,5/22/2018,COLLISION WITH INJURY,4
2450,5/22/2018,COLLISN/ LVNG SCN,3
2451,5/22/2018,BLOCKED DRIV/ HWY,1
2452,5/22/2018,COLLISION/PRIVATE PROPERTY,1
2453,5/23/2018,Crash Service,52
2454,5/23/2018,Traffic Hazard,48
2455,5/23/2018,Crash Urgent,43
2456,5/23/2018,Traffic Impediment,23
2457,5/23/2018,COLLISION,13
2458,5/23/2018,TRFC HAZD/ DEBRIS,13
2459,5/23/2018,zSTALLED VEHICLE,9
2460,5/23/2018,COLLISION WITH INJURY,5
2461,5/23/2018,LOOSE LIVESTOCK,3
2462,5/23/2018,BLOCKED DRIV/ HWY,1
2463,5/23/2018,COLLISN/ LVNG SCN,1
2464,5/23/2018,FLEET ACC/ INJURY,1
2465,5/24/2018,Traffic Hazard,65
2466,5/24/2018,Crash Urgent,49
2467,5/24/2018,Crash Service,32
2468,5/24/2018,Traffic Impediment,26
2469,5/24/2018,COLLISION,15
2470,5/24/2018,TRFC HAZD/ DEBRIS,15
2471,5/24/2018,zSTALLED VEHICLE,8
2472,5/24/2018,LOOSE LIVESTOCK,5
2473,5/24/2018,COLLISION WITH INJURY,3
2474,5/24/2018,COLLISN/ LVNG SCN,3
2475,5/24/2018,COLLISION/PRIVATE PROPERTY,1
2476,5/25/2018,Crash Urgent,76
2477,5/25/2018,Traffic Hazard,64
2478,5/25/2018,Crash Service,51
2479,5/25/2018,COLLISION,18
2480,5/25/2018,zSTALLED VEHICLE,16
2481,5/25/2018,Traffic Impediment,14
2482,5/25/2018,TRFC HAZD/ DEBRIS,10
2483,5/25/2018,COLLISION WITH INJURY,5
2484,5/25/2018,LOOSE LIVESTOCK,3
2485,5/25/2018,BOAT ACCIDENT,1
2486,5/25/2018,COLLISION/PRIVATE PROPERTY,1
2487,5/25/2018,COLLISN/ LVNG SCN,1
2488,5/26/2018,Traffic Hazard,56
2489,5/26/2018,Crash Urgent,34
2490,5/26/2018,Crash Service,33
2491,5/26/2018,COLLISION,18
2492,5/26/2018,Traffic Impediment,17
2493,5/26/2018,TRFC HAZD/ DEBRIS,13
2494,5/26/2018,zSTALLED VEHICLE,9
2495,5/26/2018,LOOSE LIVESTOCK,3
2496,5/26/2018,COLLISION WITH INJURY,2
2497,5/26/2018,COLLISN/ LVNG SCN,2
2498,5/26/2018,BLOCKED DRIV/ HWY,1
2499,5/26/2018,BOAT ACCIDENT,1
2500,5/27/2018,Traffic Hazard,34
2501,5/27/2018,Crash Urgent,22
2502,5/27/2018,Crash Service,17
2503,5/27/2018,Traffic Impediment,11
2504,5/27/2018,COLLISION,9
2505,5/27/2018,TRFC HAZD/ DEBRIS,6
2506,5/27/2018,COLLISION WITH INJURY,4
2507,5/27/2018,zSTALLED VEHICLE,4
2508,5/27/2018,LOOSE LIVESTOCK,3
2509,5/27/2018,BLOCKED DRIV/ HWY,1
2510,5/27/2018,BOAT ACCIDENT,1
2511,5/27/2018,COLLISN/ LVNG SCN,1
2512,5/28/2018,Traffic Hazard,52
2513,5/28/2018,Crash Urgent,33
2514,5/28/2018,Crash Service,19
2515,5/28/2018,TRFC HAZD/ DEBRIS,13
2516,5/28/2018,zSTALLED VEHICLE,13
2517,5/28/2018,Traffic Impediment,11
2518,5/28/2018,COLLISION,6
2519,5/28/2018,COLLISION/PRIVATE PROPERTY,2
2520,5/28/2018,COLLISN/ LVNG SCN,2
2521,5/28/2018,BOAT ACCIDENT,1
2522,5/28/2018,LOOSE LIVESTOCK,1
2523,5/28/2018,VEHICLE FIRE,1
2524,5/29/2018,Traffic Hazard,82
2525,5/29/2018,Crash Urgent,56
2526,5/29/2018,Crash Service,39
2527,5/29/2018,Traffic Impediment,20
2528,5/29/2018,TRFC HAZD/ DEBRIS,15
2529,5/29/2018,COLLISION,13
2530,5/29/2018,zSTALLED VEHICLE,10
2531,5/29/2018,COLLISION WITH INJURY,4
2532,5/29/2018,LOOSE LIVESTOCK,3
2533,5/29/2018,AUTO/ PED,1
2534,5/29/2018,COLLISN/ LVNG SCN,1
2535,5/29/2018,VEHICLE FIRE,1
2536,5/3/2018,Traffic Hazard,55
2537,5/3/2018,Crash Urgent,45
2538,5/3/2018,Crash Service,33
2539,5/3/2018,Traffic Impediment,20
2540,5/3/2018,COLLISION,15
2541,5/3/2018,TRFC HAZD/ DEBRIS,12
2542,5/3/2018,zSTALLED VEHICLE,7
2543,5/3/2018,COLLISION WITH INJURY,5
2544,5/3/2018,COLLISN/ LVNG SCN,3
2545,5/3/2018,LOOSE LIVESTOCK,1
2546,5/30/2018,Traffic Hazard,70
2547,5/30/2018,Crash Urgent,51
2548,5/30/2018,Crash Service,40
2549,5/30/2018,COLLISION,12
2550,5/30/2018,Traffic Impediment,12
2551,5/30/2018,zSTALLED VEHICLE,11
2552,5/30/2018,TRFC HAZD/ DEBRIS,8
2553,5/30/2018,COLLISN/ LVNG SCN,5
2554,5/30/2018,COLLISION WITH INJURY,4
2555,5/30/2018,LOOSE LIVESTOCK,1
2556,5/31/2018,Traffic Hazard,74
2557,5/31/2018,Crash Urgent,47
2558,5/31/2018,Crash Service,29
2559,5/31/2018,Traffic Impediment,29
2560,5/31/2018,COLLISION,11
2561,5/31/2018,TRFC HAZD/ DEBRIS,9
2562,5/31/2018,zSTALLED VEHICLE,8
2563,5/31/2018,COLLISION WITH INJURY,5
2564,5/31/2018,COLLISN/ LVNG SCN,5
2565,5/31/2018,LOOSE LIVESTOCK,3
2566,5/31/2018,VEHICLE FIRE,3
2567,5/31/2018,COLLISION/PRIVATE PROPERTY,2
2568,5/31/2018,FLEET ACC/ INJURY,2
2569,5/4/2018,Traffic Hazard,106
2570,5/4/2018,Crash Urgent,78
2571,5/4/2018,Traffic Impediment,68
2572,5/4/2018,Crash Service,60
2573,5/4/2018,TRFC HAZD/ DEBRIS,19
2574,5/4/2018,zSTALLED VEHICLE,19
2575,5/4/2018,COLLISION,18
2576,5/4/2018,COLLISION WITH INJURY,16
2577,5/4/2018,LOOSE LIVESTOCK,7
2578,5/4/2018,COLLISN/ LVNG SCN,3
2579,5/5/2018,Traffic Hazard,54
2580,5/5/2018,Crash Service,37
2581,5/5/2018,Crash Urgent,35
2582,5/5/2018,Traffic Impediment,25
2583,5/5/2018,COLLISION,10
2584,5/5/2018,TRFC HAZD/ DEBRIS,10
2585,5/5/2018,zSTALLED VEHICLE,10
2586,5/5/2018,COLLISION WITH INJURY,8
2587,5/5/2018,COLLISN/ LVNG SCN,4
2588,5/5/2018,LOOSE LIVESTOCK,2
2589,5/6/2018,Traffic Hazard,43
2590,5/6/2018,Crash Urgent,42
2591,5/6/2018,Crash Service,23
2592,5/6/2018,Traffic Impediment,19
2593,5/6/2018,TRFC HAZD/ DEBRIS,12
2594,5/6/2018,LOOSE LIVESTOCK,9
2595,5/6/2018,COLLISION WITH INJURY,7
2596,5/6/2018,COLLISN/ LVNG SCN,7
2597,5/6/2018,zSTALLED VEHICLE,5
2598,5/6/2018,COLLISION,4
2599,5/7/2018,Crash Urgent,51
2600,5/7/2018,Traffic Hazard,49
2601,5/7/2018,Crash Service,38
2602,5/7/2018,Traffic Impediment,25
2603,5/7/2018,COLLISION,10
2604,5/7/2018,TRFC HAZD/ DEBRIS,9
2605,5/7/2018,zSTALLED VEHICLE,8
2606,5/7/2018,COLLISION WITH INJURY,4
2607,5/7/2018,COLLISN/ LVNG SCN,4
2608,5/7/2018,LOOSE LIVESTOCK,4
2609,5/7/2018,COLLISION/PRIVATE PROPERTY,1
2610,5/7/2018,VEHICLE FIRE,1
2611,5/8/2018,Traffic Hazard,66
2612,5/8/2018,Crash Urgent,50
2613,5/8/2018,Crash Service,39
2614,5/8/2018,TRFC HAZD/ DEBRIS,15
2615,5/8/2018,COLLISION,14
2616,5/8/2018,Traffic Impediment,14
2617,5/8/2018,zSTALLED VEHICLE,12
2618,5/8/2018,COLLISION WITH INJURY,7
2619,5/8/2018,LOOSE LIVESTOCK,3
2620,5/8/2018,VEHICLE FIRE,3
2621,5/8/2018,COLLISION/PRIVATE PROPERTY,1
2622,5/8/2018,COLLISN/ LVNG SCN,1
2623,5/9/2018,Traffic Hazard,69
2624,5/9/2018,Crash Urgent,48
2625,5/9/2018,Crash Service,40
2626,5/9/2018,Traffic Impediment,16
2627,5/9/2018,TRFC HAZD/ DEBRIS,11
2628,5/9/2018,COLLISION,10
2629,5/9/2018,zSTALLED VEHICLE,9
2630,5/9/2018,LOOSE LIVESTOCK,7
2631,5/9/2018,COLLISION WITH INJURY,3
2632,5/9/2018,COLLISN/ LVNG SCN,2
2633,5/9/2018,BLOCKED DRIV/ HWY,1
2634,5/9/2018,COLLISION/PRIVATE PROPERTY,1
2635,5/9/2018,VEHICLE FIRE,1
2636,6/1/2018,Traffic Hazard,65
2637,6/1/2018,Crash Urgent,58
2638,6/1/2018,Crash Service,49
2639,6/1/2018,Traffic Impediment,21
2640,6/1/2018,COLLISION,16
2641,6/1/2018,TRFC HAZD/ DEBRIS,14
2642,6/1/2018,zSTALLED VEHICLE,12
2643,6/1/2018,COLLISN/ LVNG SCN,5
2644,6/1/2018,COLLISION WITH INJURY,4
2645,6/1/2018,LOOSE LIVESTOCK,4
2646,6/1/2018,BLOCKED DRIV/ HWY,1
2647,6/10/2018,Traffic Hazard,45
2648,6/10/2018,Crash Urgent,22
2649,6/10/2018,Crash Service,20
2650,6/10/2018,COLLISION,12
2651,6/10/2018,TRFC HAZD/ DEBRIS,10
2652,6/10/2018,Traffic Impediment,9
2653,6/10/2018,zSTALLED VEHICLE,9
2654,6/10/2018,LOOSE LIVESTOCK,5
2655,6/10/2018,COLLISION WITH INJURY,4
2656,6/10/2018,COLLISN/ LVNG SCN,2
2657,6/10/2018,VEHICLE FIRE,1
2658,6/11/2018,Traffic Hazard,54
2659,6/11/2018,Crash Urgent,49
2660,6/11/2018,Crash Service,38
2661,6/11/2018,Traffic Impediment,19
2662,6/11/2018,COLLISION,11
2663,6/11/2018,TRFC HAZD/ DEBRIS,8
2664,6/11/2018,zSTALLED VEHICLE,8
2665,6/11/2018,LOOSE LIVESTOCK,6
2666,6/11/2018,COLLISION WITH INJURY,2
2667,6/11/2018,COLLISN/ LVNG SCN,2
2668,6/11/2018,BLOCKED DRIV/ HWY,1
2669,6/11/2018,COLLISION/PRIVATE PROPERTY,1
2670,6/12/2018,Traffic Hazard,40
2671,6/12/2018,Crash Urgent,26
2672,6/12/2018,Crash Service,23
2673,6/12/2018,Traffic Impediment,10
2674,6/12/2018,COLLISION,8
2675,6/12/2018,zSTALLED VEHICLE,4
2676,6/12/2018,COLLISION WITH INJURY,2
2677,6/12/2018,COLLISN/ LVNG SCN,2
2678,6/12/2018,LOOSE LIVESTOCK,2
2679,6/12/2018,TRFC HAZD/ DEBRIS,2
2680,6/13/2018,Traffic Hazard,82
2681,6/13/2018,Crash Urgent,48
2682,6/13/2018,Crash Service,38
2683,6/13/2018,Traffic Impediment,22
2684,6/13/2018,COLLISION,14
2685,6/13/2018,TRFC HAZD/ DEBRIS,13
2686,6/13/2018,zSTALLED VEHICLE,9
2687,6/13/2018,COLLISION/PRIVATE PROPERTY,5
2688,6/13/2018,LOOSE LIVESTOCK,5
2689,6/13/2018,COLLISN/ LVNG SCN,4
2690,6/13/2018,COLLISION WITH INJURY,2
2691,6/14/2018,Traffic Hazard,65
2692,6/14/2018,Crash Urgent,47
2693,6/14/2018,Crash Service,35
2694,6/14/2018,TRFC HAZD/ DEBRIS,22
2695,6/14/2018,Traffic Impediment,17
2696,6/14/2018,COLLISION,16
2697,6/14/2018,LOOSE LIVESTOCK,7
2698,6/14/2018,zSTALLED VEHICLE,7
2699,6/14/2018,COLLISN/ LVNG SCN,6
2700,6/14/2018,COLLISION WITH INJURY,5
2701,6/14/2018,BLOCKED DRIV/ HWY,1
2702,6/14/2018,VEHICLE FIRE,1
2703,6/15/2018,Traffic Hazard,70
2704,6/15/2018,Crash Service,42
2705,6/15/2018,Crash Urgent,33
2706,6/15/2018,Traffic Impediment,18
2707,6/15/2018,COLLISION,15
2708,6/15/2018,TRFC HAZD/ DEBRIS,12
2709,6/15/2018,LOOSE LIVESTOCK,11
2710,6/15/2018,zSTALLED VEHICLE,10
2711,6/15/2018,COLLISION WITH INJURY,5
2712,6/15/2018,COLLISION/PRIVATE PROPERTY,2
2713,6/15/2018,COLLISN/ LVNG SCN,1
2714,6/15/2018,VEHICLE FIRE,1
2715,6/16/2018,Traffic Hazard,64
2716,6/16/2018,Crash Service,43
2717,6/16/2018,Crash Urgent,43
2718,6/16/2018,COLLISION,23
2719,6/16/2018,Traffic Impediment,20
2720,6/16/2018,TRFC HAZD/ DEBRIS,13
2721,6/16/2018,zSTALLED VEHICLE,8
2722,6/16/2018,COLLISION WITH INJURY,3
2723,6/16/2018,COLLISN/ LVNG SCN,3
2724,6/16/2018,LOOSE LIVESTOCK,2
2725,6/17/2018,Traffic Hazard,45
2726,6/17/2018,Crash Urgent,32
2727,6/17/2018,Crash Service,18
2728,6/17/2018,Traffic Impediment,9
2729,6/17/2018,LOOSE LIVESTOCK,8
2730,6/17/2018,zSTALLED VEHICLE,8
2731,6/17/2018,COLLISION,7
2732,6/17/2018,TRFC HAZD/ DEBRIS,7
2733,6/17/2018,COLLISN/ LVNG SCN,5
2734,6/17/2018,BOAT ACCIDENT,1
2735,6/17/2018,COLLISION/PRIVATE PROPERTY,1
2736,6/18/2018,Crash Urgent,58
2737,6/18/2018,Traffic Hazard,58
2738,6/18/2018,Crash Service,35
2739,6/18/2018,Traffic Impediment,25
2740,6/18/2018,COLLISION,17
2741,6/18/2018,zSTALLED VEHICLE,10
2742,6/18/2018,LOOSE LIVESTOCK,8
2743,6/18/2018,TRFC HAZD/ DEBRIS,8
2744,6/18/2018,COLLISION WITH INJURY,3
2745,6/18/2018,COLLISN/ LVNG SCN,3
2746,6/18/2018,COLLISION/PRIVATE PROPERTY,1
2747,6/19/2018,Crash Urgent,82
2748,6/19/2018,Traffic Hazard,57
2749,6/19/2018,Crash Service,39
2750,6/19/2018,COLLISION,28
2751,6/19/2018,Traffic Impediment,21
2752,6/19/2018,zSTALLED VEHICLE,15
2753,6/19/2018,TRFC HAZD/ DEBRIS,13
2754,6/19/2018,COLLISION WITH INJURY,11
2755,6/19/2018,LOOSE LIVESTOCK,6
2756,6/19/2018,COLLISN/ LVNG SCN,3
2757,6/2/2018,Traffic Hazard,57
2758,6/2/2018,Crash Urgent,36
2759,6/2/2018,Crash Service,34
2760,6/2/2018,Traffic Impediment,21
2761,6/2/2018,TRFC HAZD/ DEBRIS,15
2762,6/2/2018,COLLISION,9
2763,6/2/2018,COLLISION WITH INJURY,8
2764,6/2/2018,LOOSE LIVESTOCK,6
2765,6/2/2018,zSTALLED VEHICLE,6
2766,6/2/2018,COLLISN/ LVNG SCN,3
2767,6/2/2018,VEHICLE FIRE,2
2768,6/2/2018,BOAT ACCIDENT,1
2769,6/2/2018,COLLISION/PRIVATE PROPERTY,1
2770,6/20/2018,Traffic Hazard,49
2771,6/20/2018,Crash Urgent,35
2772,6/20/2018,Crash Service,29
2773,6/20/2018,Traffic Impediment,24
2774,6/20/2018,COLLISION,13
2775,6/20/2018,zSTALLED VEHICLE,8
2776,6/20/2018,TRFC HAZD/ DEBRIS,6
2777,6/20/2018,LOOSE LIVESTOCK,3
2778,6/20/2018,COLLISN/ LVNG SCN,2
2779,6/20/2018,COLLISION WITH INJURY,1
2780,6/21/2018,Traffic Hazard,63
2781,6/21/2018,Crash Urgent,39
2782,6/21/2018,Crash Service,35
2783,6/21/2018,Traffic Impediment,19
2784,6/21/2018,zSTALLED VEHICLE,13
2785,6/21/2018,TRFC HAZD/ DEBRIS,10
2786,6/21/2018,COLLISION,8
2787,6/21/2018,COLLISN/ LVNG SCN,2
2788,6/21/2018,COLLISION WITH INJURY,1
2789,6/21/2018,LOOSE LIVESTOCK,1
2790,6/22/2018,Crash Urgent,49
2791,6/22/2018,Traffic Hazard,44
2792,6/22/2018,Crash Service,33
2793,6/22/2018,Traffic Impediment,18
2794,6/22/2018,COLLISION,14
2795,6/22/2018,TRFC HAZD/ DEBRIS,12
2796,6/22/2018,zSTALLED VEHICLE,10
2797,6/22/2018,LOOSE LIVESTOCK,4
2798,6/22/2018,COLLISION WITH INJURY,2
2799,6/22/2018,VEHICLE FIRE,1
2800,6/23/2018,Traffic Hazard,53
2801,6/23/2018,Crash Urgent,37
2802,6/23/2018,Crash Service,26
2803,6/23/2018,zSTALLED VEHICLE,13
2804,6/23/2018,COLLISION,10
2805,6/23/2018,TRFC HAZD/ DEBRIS,10
2806,6/23/2018,Traffic Impediment,8
2807,6/23/2018,COLLISN/ LVNG SCN,5
2808,6/23/2018,COLLISION WITH INJURY,4
2809,6/23/2018,COLLISION/PRIVATE PROPERTY,3
2810,6/23/2018,LOOSE LIVESTOCK,3
2811,6/24/2018,Traffic Hazard,42
2812,6/24/2018,Crash Urgent,26
2813,6/24/2018,Crash Service,20
2814,6/24/2018,TRFC HAZD/ DEBRIS,15
2815,6/24/2018,Traffic Impediment,11
2816,6/24/2018,COLLISION,10
2817,6/24/2018,LOOSE LIVESTOCK,8
2818,6/24/2018,COLLISION WITH INJURY,4
2819,6/24/2018,COLLISN/ LVNG SCN,2
2820,6/24/2018,zSTALLED VEHICLE,2
2821,6/24/2018,BOAT ACCIDENT,1
2822,6/24/2018,VEHICLE FIRE,1
2823,6/25/2018,Traffic Hazard,68
2824,6/25/2018,Crash Urgent,46
2825,6/25/2018,Crash Service,31
2826,6/25/2018,Traffic Impediment,26
2827,6/25/2018,COLLISION,19
2828,6/25/2018,zSTALLED VEHICLE,18
2829,6/25/2018,TRFC HAZD/ DEBRIS,16
2830,6/25/2018,COLLISION WITH INJURY,5
2831,6/25/2018,LOOSE LIVESTOCK,5
2832,6/25/2018,COLLISN/ LVNG SCN,3
2833,6/26/2018,Traffic Hazard,66
2834,6/26/2018,Crash Urgent,56
2835,6/26/2018,Crash Service,36
2836,6/26/2018,Traffic Impediment,20
2837,6/26/2018,zSTALLED VEHICLE,17
2838,6/26/2018,COLLISION,15
2839,6/26/2018,TRFC HAZD/ DEBRIS,7
2840,6/26/2018,COLLISION WITH INJURY,4
2841,6/26/2018,COLLISN/ LVNG SCN,4
2842,6/26/2018,LOOSE LIVESTOCK,1
2843,6/27/2018,Traffic Hazard,73
2844,6/27/2018,Crash Urgent,39
2845,6/27/2018,Crash Service,37
2846,6/27/2018,Traffic Impediment,21
2847,6/27/2018,TRFC HAZD/ DEBRIS,17
2848,6/27/2018,COLLISION,11
2849,6/27/2018,zSTALLED VEHICLE,11
2850,6/27/2018,LOOSE LIVESTOCK,5
2851,6/27/2018,COLLISION WITH INJURY,3
2852,6/27/2018,COLLISN/ LVNG SCN,3
2853,6/27/2018,BLOCKED DRIV/ HWY,1
2854,6/28/2018,Traffic Hazard,62
2855,6/28/2018,Crash Urgent,43
2856,6/28/2018,Crash Service,38
2857,6/28/2018,Traffic Impediment,24
2858,6/28/2018,TRFC HAZD/ DEBRIS,15
2859,6/28/2018,COLLISION,11
2860,6/28/2018,zSTALLED VEHICLE,8
2861,6/28/2018,COLLISN/ LVNG SCN,2
2862,6/28/2018,BLOCKED DRIV/ HWY,1
2863,6/28/2018,COLLISION WITH INJURY,1
2864,6/28/2018,COLLISION/PRIVATE PROPERTY,1
2865,6/28/2018,LOOSE LIVESTOCK,1
2866,6/29/2018,Traffic Hazard,83
2867,6/29/2018,Crash Urgent,55
2868,6/29/2018,Crash Service,40
2869,6/29/2018,Traffic Impediment,29
2870,6/29/2018,TRFC HAZD/ DEBRIS,14
2871,6/29/2018,COLLISION,12
2872,6/29/2018,zSTALLED VEHICLE,11
2873,6/29/2018,COLLISION WITH INJURY,5
2874,6/29/2018,COLLISN/ LVNG SCN,4
2875,6/29/2018,COLLISION/PRIVATE PROPERTY,1
2876,6/29/2018,LOOSE LIVESTOCK,1
2877,6/3/2018,Crash Urgent,22
2878,6/3/2018,Traffic Hazard,19
2879,6/3/2018,Crash Service,17
2880,6/3/2018,COLLISION,8
2881,6/3/2018,Traffic Impediment,8
2882,6/3/2018,zSTALLED VEHICLE,5
2883,6/3/2018,TRFC HAZD/ DEBRIS,4
2884,6/3/2018,COLLISION WITH INJURY,2
2885,6/3/2018,COLLISN/ LVNG SCN,2
2886,6/3/2018,LOOSE LIVESTOCK,2
2887,6/30/2018,Traffic Hazard,55
2888,6/30/2018,Crash Urgent,31
2889,6/30/2018,Crash Service,30
2890,6/30/2018,COLLISION,13
2891,6/30/2018,TRFC HAZD/ DEBRIS,13
2892,6/30/2018,COLLISION WITH INJURY,9
2893,6/30/2018,Traffic Impediment,9
2894,6/30/2018,COLLISN/ LVNG SCN,7
2895,6/30/2018,LOOSE LIVESTOCK,5
2896,6/30/2018,VEHICLE FIRE,2
2897,6/30/2018,zSTALLED VEHICLE,2
2898,6/30/2018,COLLISION/PRIVATE PROPERTY,1
2899,6/4/2018,Traffic Hazard,83
2900,6/4/2018,Traffic Impediment,65
2901,6/4/2018,Crash Urgent,48
2902,6/4/2018,TRFC HAZD/ DEBRIS,44
2903,6/4/2018,Crash Service,26
2904,6/4/2018,COLLISION,24
2905,6/4/2018,COLLISION WITH INJURY,10
2906,6/4/2018,LOOSE LIVESTOCK,9
2907,6/4/2018,zSTALLED VEHICLE,6
2908,6/4/2018,COLLISN/ LVNG SCN,2
2909,6/5/2018,Traffic Hazard,81
2910,6/5/2018,Crash Urgent,38
2911,6/5/2018,Crash Service,28
2912,6/5/2018,Traffic Impediment,18
2913,6/5/2018,COLLISION,10
2914,6/5/2018,zSTALLED VEHICLE,9
2915,6/5/2018,TRFC HAZD/ DEBRIS,7
2916,6/5/2018,LOOSE LIVESTOCK,5
2917,6/5/2018,COLLISION WITH INJURY,2
2918,6/5/2018,VEHICLE FIRE,2
2919,6/5/2018,COLLISN/ LVNG SCN,1
2920,6/6/2018,Traffic Hazard,60
2921,6/6/2018,Crash Urgent,39
2922,6/6/2018,Crash Service,37
2923,6/6/2018,Traffic Impediment,24
2924,6/6/2018,TRFC HAZD/ DEBRIS,22
2925,6/6/2018,zSTALLED VEHICLE,11
2926,6/6/2018,COLLISION,10
2927,6/6/2018,LOOSE LIVESTOCK,6
2928,6/6/2018,COLLISION WITH INJURY,2
2929,6/6/2018,AUTO/ PED,1
2930,6/6/2018,VEHICLE FIRE,1
2931,6/7/2018,Traffic Hazard,57
2932,6/7/2018,Crash Service,34
2933,6/7/2018,Crash Urgent,31
2934,6/7/2018,TRFC HAZD/ DEBRIS,21
2935,6/7/2018,Traffic Impediment,19
2936,6/7/2018,COLLISION,12
2937,6/7/2018,zSTALLED VEHICLE,4
2938,6/7/2018,COLLISION WITH INJURY,2
2939,6/7/2018,LOOSE LIVESTOCK,2
2940,6/7/2018,COLLISN/ LVNG SCN,1
2941,6/8/2018,Traffic Hazard,62
2942,6/8/2018,Crash Urgent,48
2943,6/8/2018,Crash Service,40
2944,6/8/2018,COLLISION,14
2945,6/8/2018,Traffic Impediment,13
2946,6/8/2018,TRFC HAZD/ DEBRIS,10
2947,6/8/2018,zSTALLED VEHICLE,10
2948,6/8/2018,LOOSE LIVESTOCK,4
2949,6/8/2018,COLLISION WITH INJURY,3
2950,6/8/2018,COLLISION/PRIVATE PROPERTY,3
2951,6/8/2018,COLLISN/ LVNG SCN,1
2952,6/9/2018,Traffic Hazard,19
2953,6/9/2018,Crash Service,15
2954,6/9/2018,Crash Urgent,12
2955,6/9/2018,COLLISION,8
2956,6/9/2018,Traffic Impediment,7
2957,6/9/2018,zSTALLED VEHICLE,3
2958,6/9/2018,COLLISION WITH INJURY,2
2959,6/9/2018,COLLISN/ LVNG SCN,1
2960,7/1/2018,Traffic Hazard,57
2961,7/1/2018,Crash Service,22
2962,7/1/2018,Crash Urgent,20
2963,7/1/2018,TRFC HAZD/ DEBRIS,13
2964,7/1/2018,COLLISION,12
2965,7/1/2018,LOOSE LIVESTOCK,8
2966,7/1/2018,Traffic Impediment,6
2967,7/1/2018,COLLISION/PRIVATE PROPERTY,3
2968,7/1/2018,zSTALLED VEHICLE,2
2969,7/1/2018,COLLISION WITH INJURY,1
2970,7/1/2018,COLLISN/ LVNG SCN,1
2971,7/10/2018,Traffic Hazard,59
2972,7/10/2018,Crash Urgent,40
2973,7/10/2018,Crash Service,22
2974,7/10/2018,zSTALLED VEHICLE,17
2975,7/10/2018,COLLISION,15
2976,7/10/2018,TRFC HAZD/ DEBRIS,11
2977,7/10/2018,Traffic Impediment,11
2978,7/10/2018,LOOSE LIVESTOCK,6
2979,7/10/2018,COLLISION WITH INJURY,3
2980,7/10/2018,COLLISN/ LVNG SCN,3
2981,7/10/2018,VEHICLE FIRE,2
2982,7/11/2018,Traffic Hazard,67
2983,7/11/2018,Crash Urgent,52
2984,7/11/2018,Crash Service,28
2985,7/11/2018,Traffic Impediment,21
2986,7/11/2018,zSTALLED VEHICLE,17
2987,7/11/2018,COLLISION,10
2988,7/11/2018,LOOSE LIVESTOCK,8
2989,7/11/2018,TRFC HAZD/ DEBRIS,4
2990,7/11/2018,COLLISION WITH INJURY,2
2991,7/11/2018,COLLISN/ LVNG SCN,2
2992,7/12/2018,Traffic Hazard,74
2993,7/12/2018,Crash Service,41
2994,7/12/2018,Crash Urgent,35
2995,7/12/2018,TRFC HAZD/ DEBRIS,14
2996,7/12/2018,Traffic Impediment,14
2997,7/12/2018,COLLISION,12
2998,7/12/2018,LOOSE LIVESTOCK,9
2999,7/12/2018,zSTALLED VEHICLE,9
3000,7/12/2018,COLLISION WITH INJURY,6
3001,7/12/2018,COLLISN/ LVNG SCN,2
3002,7/12/2018,BLOCKED DRIV/ HWY,1
3003,7/12/2018,COLLISION/PRIVATE PROPERTY,1
3004,7/12/2018,VEHICLE FIRE,1
3005,7/13/2018,Traffic Hazard,65
3006,7/13/2018,Crash Urgent,42
3007,7/13/2018,Crash Service,30
3008,7/13/2018,Traffic Impediment,19
3009,7/13/2018,TRFC HAZD/ DEBRIS,17
3010,7/13/2018,COLLISION,15
3011,7/13/2018,LOOSE LIVESTOCK,11
3012,7/13/2018,zSTALLED VEHICLE,8
3013,7/13/2018,COLLISION WITH INJURY,5
3014,7/13/2018,COLLISN/ LVNG SCN,2
3015,7/14/2018,Traffic Hazard,66
3016,7/14/2018,Crash Urgent,37
3017,7/14/2018,Crash Service,30
3018,7/14/2018,Traffic Impediment,16
3019,7/14/2018,COLLISION,9
3020,7/14/2018,COLLISION WITH INJURY,7
3021,7/14/2018,TRFC HAZD/ DEBRIS,6
3022,7/14/2018,LOOSE LIVESTOCK,5
3023,7/14/2018,COLLISN/ LVNG SCN,2
3024,7/14/2018,zSTALLED VEHICLE,2
3025,7/14/2018,COLLISION/PRIVATE PROPERTY,1
3026,7/14/2018,VEHICLE FIRE,1
3027,7/15/2018,Crash Urgent,47
3028,7/15/2018,Traffic Hazard,40
3029,7/15/2018,Crash Service,28
3030,7/15/2018,Traffic Impediment,21
3031,7/15/2018,TRFC HAZD/ DEBRIS,16
3032,7/15/2018,COLLISION,14
3033,7/15/2018,zSTALLED VEHICLE,6
3034,7/15/2018,LOOSE LIVESTOCK,3
