,Date,Hour,Number_of_Incidents
876,10/17/2017,12,11
877,10/17/2017,13,10
878,10/17/2017,14,17
879,10/17/2017,15,18
880,10/17/2017,16,13
881,10/17/2017,17,26
882,10/17/2017,18,23
883,10/17/2017,19,10
884,10/17/2017,20,6
885,10/17/2017,21,3
886,10/17/2017,22,5
887,10/17/2017,23,1
888,10/18/2017,0,3
889,10/18/2017,2,3
890,10/18/2017,3,1
891,10/18/2017,4,2
892,10/18/2017,5,2
893,10/18/2017,6,3
894,10/18/2017,7,11
895,10/18/2017,8,22
896,10/18/2017,9,12
897,10/18/2017,10,7
898,10/18/2017,11,13
899,10/18/2017,12,13
900,10/18/2017,13,7
901,10/19/2017,12,3
902,10/19/2017,13,6
903,10/19/2017,14,21
904,10/19/2017,15,18
905,10/19/2017,16,12
906,10/19/2017,17,16
907,10/19/2017,18,10
908,10/19/2017,19,10
909,10/19/2017,20,7
910,10/19/2017,21,6
911,10/19/2017,22,5
912,10/19/2017,23,6
913,10/2/2017,0,4
914,10/2/2017,5,2
915,10/2/2017,6,5
916,10/2/2017,7,3
917,10/2/2017,8,11
918,10/2/2017,9,7
919,10/2/2017,10,3
920,10/2/2017,11,8
921,10/2/2017,12,13
922,10/2/2017,13,1
923,10/2/2017,14,9
924,10/2/2017,15,4
925,10/2/2017,16,12
926,10/2/2017,17,9
927,10/2/2017,18,7
928,10/2/2017,19,4
929,10/2/2017,20,5
930,10/2/2017,21,1
931,10/2/2017,23,1
932,10/20/2017,0,1
933,10/20/2017,1,2
934,10/20/2017,2,2
935,10/20/2017,5,2
936,10/20/2017,6,4
937,10/20/2017,7,19
938,10/20/2017,8,16
939,10/20/2017,9,9
940,10/20/2017,10,17
941,10/20/2017,11,14
942,10/20/2017,12,21
943,10/20/2017,13,13
944,10/20/2017,14,11
945,10/20/2017,15,22
946,10/20/2017,16,25
947,10/20/2017,17,18
948,10/20/2017,18,9
949,10/20/2017,19,10
950,10/20/2017,20,8
951,10/20/2017,21,9
952,10/20/2017,22,8
953,10/20/2017,23,7
954,10/21/2017,0,1
955,10/21/2017,1,3
